Movie;Director;Running time;Actor 1;Actor 2;Actor 3;Genre;Budget;Box Office;Release year
Brooklyn's Finest;Antoine Fuqua;132;Don Cheadle;Lili Taylor;Armando Riesco;Crime;17000000;30000000;2009
The Boy in the Striped Pajamas;Mark Herman;94;Richard Johnson;Sheila Hancock;Cara Horgan;Drama;12500000;44000000;2008
Unknown;Jaume Collet-Serra;113;Liam Neeson;Frank Langella;Aidan Quinn;Action;30000000;100000000;2011
16 Blocks;Richard Donner;102;Bruce Willis;David Zayas;Sasha Roiz;Action;52000000;65000000;2006
Another Earth;Mike Cahill;92;Robin Lord Taylor;William Mapother;Flint Beverage;Drama;100000;1800000;2011
The Boy Next Door;Rob Cohen;91;Ryan Guzman;Hill Harper;Adam Hicks;Thriller;4000000;52000000;2015
Bandslam;Todd Graff;111;Scott Porter;Charlie Saxton;Ryan Donowho;Comedy;20000000;12200000;2009
Shattered;Mike Barker;98;Gerard Butler;Nicholas Lea;Callum Rennie;Crime;20000000;3800000;2007
Shutter;Masayuki Ochiai;90;James Kyson;David Denman;Daisy Betts;Horror;8000000;48000000;2008
Adam Resurrected;Paul Schrader;106;Veronica Ferres;Ayelet Zurer;Derek Jacobi;Drama;10000000;300000;2008
Redbelt;David Mamet;99;Alice Braga;Randy Couture;Jose Pablo Cantillo;Drama;7000000;2700000;2008
Special;Hal Haberman;81;Michael Rapaport;Paul Blackthorne;Ian Bohen;Comedy;1000000;200000;2006
Straw Dogs;Rod Lurie;110;Alexander Skarsgård;Laz Alonso;Rhys Coiro;Action;25000000;11000000;2011
Transformers;Michael Bay;144;Zack Ward;Michael O'Neill;Kevin Dunn;Action;150000000;710000000;2007
Get Smart;Peter Segal;110;Bill Murray;Dwayne Johnson;Anne Hathaway;Action;80000000;230000000;2008
Hostage;Florent-Emilio Siri;113;Jimmy Bennett;Bruce Willis;Ransford Doherty;Action;52000000;77600000;2005
Monsoon Wedding;Mira Nair;114;Naseeruddin Shah;Randeep Hooda;Lillete Dubey;Comedy;7000000;30000000;2001
J. Edgar;Clint Eastwood;137;Leonardo DiCaprio;Naomi Watts;Kaitlyn Dever;Biography;35000000;84000000;2011
The Spirit;Frank Miller;103;Scarlett Johansson;Jaime King;Louis Lombardi;Action;60000000;39000000;2008
And So It Goes;Rob Reiner;94;Yaya DaCosta;Annie Parisse;Frankie Valli;Comedy;18000000;25000000;2014
Dawn of the Dead;Zack Snyder;110;Ty Burrell;Kevin Zegers;Mekhi Phifer;Action;26000000;102000000;2004
Harry Potter and the Goblet of Fire;Mike Newell;157;Robert Pattinson;Daniel Radcliffe;Rupert Grint;Adventure;150000000;896000000;2005
K-19: The Widowmaker;Kathryn Bigelow;138;Liam Neeson;Christian Camargo;Lex Shrapnel;Drama;100000000;66000000;2002
Prom;Joe Nussbaum;104;Cameron Monaghan;Thomas McDonell;Aimee Teegarden;Comedy;8000000;10500000;2011
Finding Forrester;Gus Van Sant;136;F. Murray Abraham;Rob Brown;Michael Nouri;Drama;43000000;80000000;2000
Jack Ryan: Shadow Recruit;Kenneth Branagh;105;Colm Feore;Nonso Anozie;Gemma Chan;Action;60000000;135000000;2014
Pathology;Marc Schölermann;95;John de Lancie;Larry Drake;Johnny Whitworth;Crime;8000000;3000000;2008
What Happens in Vegas;Tom Vaughan;101;Treat Williams;Andrew Daly;Michelle Krusiec;Comedy;35000000;100000000;2008
Knight and Day;James Mangold;117;Tom Cruise;Marc Blucas;Jordi MollÃ ;Action;117000000;262000000;2010
The Lord of the Rings: The Fellowship of the Ring;Peter Jackson;171;Christopher Lee;Orlando Bloom;Billy Boyd;Action;93000000;887000000;2001
The Pursuit of Happyness;Gabriele Muccino;117;Will Smith;Kurt Fuller;James Karen;Biography;55000000;307000000;2006
Alone in the Dark;Uwe Boll;94;Catherine Lough Haggquist;Darren Shahlavi;Karin Konoval;Horror;20000000;12000000;2005
Tadpole;Gary Winick;78;Bebe Neuwirth;Aaron Stanford;Ron Rifkin;Comedy;150000;3200000;2000
The Real Cancun;Rick de Oliveira;96;Laura Ramsey;Alan Taylor;Benjamin Fletcher;Documentary;8000000;4100000;2003
3 Strikes;DJ Pooh;82;Mo'Nique;Mike Epps;Faizon Love;Comedy;6000000;9800000;2000
Anomalisa;Duke Johnson;90;Jennifer Jason Leigh;Tom Noonan;David Thewlis;Animation;8000000;5000000;2015
The Internship;Shawn Levy;125;Josh Gad;Jessica Szohr;Rob Riggle;Comedy;58000000;88000000;2013
The Last Exorcism;Daniel Stamm;87;Caleb Landry Jones;Ashley Bell;Patrick Fabian;Thriller;1800000;68000000;2010
There Will Be Blood;Paul Thomas Anderson;158;Jim Meskimen;Paul F. Tompkins;Kevin Breznahan;Drama;25000000;76000000;2007
Riddick;David Twohy;127;Vin Diesel;Nolan Gerard Funk;Bokeem Woodbine;Sci-Fi;38000000;115000000;2013
The Man from Earth;Richard Schenkman;87;William Katt;John Billingsley;David Lee Smith;Drama;200000;780000;2007
Chasing Mavericks;Michael Apted;116;Gerard Butler;Abigail Spencer;Leven Rambin;Biography;20000000;25000000;2012
Freedom Writers;Richard LaGravenese;123;Hunter Parrish;Scott Glenn;Imelda Staunton;Biography;21000000;41000000;2007
Once;John Carney;85;Glen Hansard;Markéta Irglová;Darren Healy;Drama;180000;47000000;2007
The Musketeer;Peter Hyams;104;Catherine Deneuve;Justin Chambers;Stephen Rea;Action;40000000;34000000;2001
She's Out of My League;Jim Field Smith;104;Mike Vogel;Kim Shaw;Geoff Stults;Comedy;20000000;32000000;2010
The Debt;John Madden;113;Tom Wilkinson;Jesper Christensen;Romi Aboulafia;Thriller;20000000;136000000;2010
The Perfect Wave;Bruce Macdonald;94;Rachel Hendrix;Cheryl Ladd;Diana Vickers;Biography;4000000;2200000;2014
Blue Ruin;Jeremy Saulnier;90;Devin Ratray;Eve Plumb;Amy Hargreaves;Crime;1066167;1000000;2013
Dallas Buyers Club;Jean-Marc Vallée;117;Matthew McConaughey;Jennifer Garner;Denis O'Hare;Biography;5000000;55100000;2013
Diary of a Wimpy Kid: Rodrick Rules;David Bowers;99;Zachary Gordon;Rachael Harris;Fran Kranz;Comedy;21000000;72000000;2011
Freakonomics;Heidi Ewing;93;Greg Crowe;James Ransone;Tempestt Bledsoe;Documentary;3000000;2000000;2010
House of Sand and Fog;Vadim Perelman;126;Frances Fisher;Kim Dickens;Ron Eldard;Drama;15000000;22000000;2003
Raising Victor Vargas;Peter Sollett;88;Victor Rasuk;Melonie Diaz;Judy Marte;Drama;800000;2000000;2002
Stomp the Yard;Sylvain White;109;Chris Brown;Laz Alonso;Harry Lennix;Drama;14000000;75000000;2007
The Hitchhiker's Guide to the Galaxy;Garth Jennings;109;Zooey Deschanel;Kelly Macdonald;Thomas Lennon;Adventure;50000000;104000000;2005
The Wild Thornberrys Movie;Cathy Malkasian;85;Alfre Woodard;Flea;Cree Summer;Animation;25000000;60700000;2002
The World's End;Edgar Wright;109;Michael Smiley;Thomas Law;Jasper Levine;Action;20000000;46000000;2013
Flash of Genius;Marc Abraham;119;Dylan Authors;Bill Lake;Victoria Learn;Biography;20000000;4200000;2008
Nomad: The Warrior;Sergey Bodrov;112;Jay Hernandez;Kuno Becker;Jason Scott Lee;Drama;25000000;13000000;2005
Source Code;Duncan Jones;93;Jake Gyllenhaal;Cas Anvar;Russell Peters;Mystery;32000000;147000000;2011
The Day After Tomorrow;Roland Emmerich;124;Jake Gyllenhaal;Dennis Quaid;Sela Ward;Action;125000000;544000000;2004
Flags of Our Fathers;Clint Eastwood;135;Paul Walker;Chris Bauer;Tom McCarthy;Drama;90000000;65400000;2006
The Scorpion King;Chuck Russell;100;Dwayne Johnson;Roger Rees;Bernard Hill;Action;60000000;165000000;2002
Baby Mama;Michael McCullers;99;Tina Fey;Amy Poehler;Romany Malco;Comedy;30000000;60000000;2008
Requiem for a Dream;Darren Aronofsky;102;Ellen Burstyn;Mark Margolis;Louise Lasser;Drama;4500000;7300000;2000
Whatever Works;Woody Allen;92;Larry David;Michael McKean;Conleth Hill;Comedy;15000000;35000000;2009
Ondine;Neil Jordan;111;Tony Curran;Stephen Rea;Alicja Bachleda;Drama;12000000;12000000;2009
Ripley's Game;Liliana Cavani;110;Ray Winstone;Dougray Scott;Chiara Caselli;Crime;30000000;2000000;2002
Me and You and Everyone We Know;Miranda July;91;Najarra Townsend;Brad William Henke;Miranda July;Comedy;2000000;4000000;2005
Return to Never Land;Robin Budd;72;Roger Rees;Rob Paulsen;Spencer Breslin;Animation;20000000;110000000;2002
Short Cut to Nirvana: Kumbh Mela;Maurizio Benazzo;85;The Dalai Lama;Jasper Johal;Swami Krishnanad;Documentary;200000;1000000;2004
X-Men: First Class;Matthew Vaughn;132;Jennifer Lawrence;Michael Fassbender;Oliver Platt;Action;160000000;354000000;2011
Grabbers;Jon Wright;94;Russell Tovey;Richard Coyle;Bronagh Gallagher;Comedy;4000000;440000;2012
Jersey Girl;Kevin Smith;102;Stephen Root;Mike Starr;George Carlin;Comedy;35000000;40000000;2004
Kiss of the Dragon;Chris Nahon;98;Jet Li;Bridget Fonda;Max Ryan;Action;25000000;64000000;2001
Saving Mr. Banks;John Lee Hancock;125;Tom Hanks;Ruth Wilson;B.J. Novak;Biography;35000000;83000000;2013
Zodiac;David Fincher;162;Robert Downey Jr.;Jake Gyllenhaal;Anthony Edwards;Crime;65000000;85000000;2007
Hotel Transylvania 2;Genndy Tartakovsky;89;Steve Buscemi;Adam Sandler;Fran Drescher;Animation;80000000;474000000;2015
Bullet to the Head;Walter Hill;92;Sylvester Stallone;Jason Momoa;Jon Seda;Action;55000000;48000000;2012
Haywire;Steven Soderbergh;93;Channing Tatum;Michael Fassbender;Michael Angarano;Action;23000000;34000000;2011
